Species,DR
Cirsium_americanum,0.625405787
Cirsium_andersonii,0.626580192
Cirsium_andrewsii,0.624091282
Cirsium_arizonicum_arizonicum,0.559570743
Cirsium_arizonicum_rothrockii,0.548045013
Cirsium_brevifolium,0.55665766
Cirsium_canescens,0.420785765
Cirsium_centaureae,0.645742905
Cirsium_ciliolatum,0.67133427
Cirsium_clavatum,0.620931323
Cirsium_clokeyi,0.548705538
Cirsium_coloradense,0.685596897
Cirsium_congdonii,0.581654969
Cirsium_conspicuum,0.530107655
Cirsium_crassicaule,0.622431999
Cirsium_culebraense,0.62757828
Cirsium_cymosum,0.67133427
Cirsium_douglasii,0.624091282
Cirsium_eatonii,0.685596897
Cirsium_edule,0.618763528
Cirsium_engelmannii,0.73144888
Cirsium_flodmanii,0.629436711
Cirsium_fontinale_campylon,0.600013265
Cirsium_funkiae,0.608247451
Cirsium_grahamii,0.549914719
Cirsium_griseum_griseum,0.611532256
Cirsium_griseum_osterhoutii,0.586736549
Cirsium_hesperium,0.608247451
Cirsium_hookerianum,0.695839567
Cirsium_inamoenum,0.55665766
Cirsium_joannae,0.549121341
Cirsium_lasal,0.745353504
Cirsium_lecontei,0.710142752
Cirsium_longistylum,0.695839567
Cirsium_mohavense,0.580529479
Cirsium_murdockii,0.745353504
Cirsium_neomexicanum,0.4476143
Cirsium_nuttallii,0.710142752
Cirsium_occidentale_candidissimum,0.4476143
Cirsium_ochrocentrum,0.595054153
Cirsium_ownbeyi,0.673257167
Cirsium_peckii,0.618763528
Cirsium_pulchellum,0.514164658
Cirsium_remotifolium,0.626580192
Cirsium_repandum,0.578077012
Cirsium_rydbergii,0.488157363
Cirsium_scariosum,0.61466829
Cirsium_scopulorum,0.645742905
Cirsium_scopulorum_pikes_peak,0.62757828
Cirsium_tenuisectum,0.5645527
Cirsium_texanum,0.73144888
Cirsium_tracyi,0.658190204
Cirsium_turneri,0.534095514
Cirsium_tweedyi,0.534450834
Cirsium_undulatum,0.658190204
Cirsium_validum,0.622431999
Cirsium_vinaceum,0.530107655
Cirsium_viperinum,0.549121341
Cirsium_virginense,0.611996525
Cirsium_vulgare,0.182836047
Cirsium_walapaiorum,0.611996525
Cirsium_wheeleri,0.559570743
Cirsium_wrightii,0.549914719