species,pollinator
Cirsium_americanum,Insect
Cirsium_andersonii,Hummingbird
Cirsium_andrewsii,Insect
Cirsium_arizonicum_arizonicum,Hummingbird
Cirsium_arizonicum_rothrockii,Hummingbird
Cirsium_brevifolium,Insect
Cirsium_canescens,Insect
Cirsium_centaureae,Insect
Cirsium_ciliolatum,Insect
Cirsium_clavatum,Insect
Cirsium_clokeyi,Insect
Cirsium_coloradense,Insect
Cirsium_congdonii,Insect
Cirsium_conspicuum,Hummingbird
Cirsium_crassicaule,Insect
Cirsium_culebraense,Insect
Cirsium_cymosum,Insect
Cirsium_douglasii,Insect
Cirsium_eatonii,Insect
Cirsium_edule,Insect
Cirsium_engelmannii,Insect
Cirsium_flodmanii,Insect
Cirsium_fontinale_campylon,Insect
Cirsium_funkiae,Insect
Cirsium_grahamii,Insect
Cirsium_griseum_griseum,Insect
Cirsium_griseum_osterhoutii,Insect
Cirsium_hesperium,Insect
Cirsium_hookerianum,Insect
Cirsium_inamoenum,Insect
Cirsium_joannae,Insect
Cirsium_lasal,Insect
Cirsium_lecontei,Insect
Cirsium_longistylum,Insect
Cirsium_mohavense,Insect
Cirsium_murdockii,Insect
Cirsium_neomexicanum,Insect
Cirsium_nuttallii,Insect
Cirsium_occidentale_candidissimum,Hummingbird
Cirsium_ochrocentrum,Insect
Cirsium_ownbeyi,Insect
Cirsium_peckii,Insect
Cirsium_pulchellum,Insect
Cirsium_remotifolium,Insect
Cirsium_repandum,Insect
Cirsium_rydbergii,Insect
Cirsium_scariosum,Insect
Cirsium_scopulorum,Insect
Cirsium_scopulorum_pikes_peak,Insect
Cirsium_tenuisectum,Insect
Cirsium_texanum,Insect
Cirsium_tracyi,Insect
Cirsium_turneri,Hummingbird
Cirsium_tweedyi,Insect
Cirsium_undulatum,Insect
Cirsium_validum,Insect
Cirsium_vinaceum,Hummingbird
Cirsium_viperinum,Insect
Cirsium_virginense,Insect
Cirsium_vulgare,Insect
Cirsium_walapaiorum,Insect
Cirsium_wheeleri,Insect
Cirsium_wrightii,Insect