Species,CorollaThroat,CorollaColor,Duration,GlutinousRidge,Habit,HeadPosition,InnerPhyllaryColor,OuterPhyllaryPosition,StyleBranchColor
Cirsium_americanum,0,2,0,0,1,0,0,0,2
Cirsium_andersonii,0,1,0,0,0,0,1,0,1
Cirsium_andrewsii,0,1,1,0,0,0,0,0,1
Cirsium_arizonicum_arizonicum,1,0,0,0,0,0,2,1,0
Cirsium_arizonicum_rothrockii,1,0,0,0,0,0,2,1,0
Cirsium_brevifolium,0,2,0,1,0,0,0,0,2
Cirsium_canescens,0,2,1,1,0,0,0,0,2
Cirsium_centaureae,0,2,0,1,0,0,0,0,2
Cirsium_ciliolatum,0,2,0,1,0,0,0,0,2
Cirsium_clavatum,0,2,0,1,0,0,0,0,2
Cirsium_clokeyi,0,2,0,0,0,0,0,1,2
Cirsium_coloradense,0,2,0,0,0,0,0,0,2
Cirsium_congdonii,0,2,0,0,1,0,0,0,2
Cirsium_conspicuum,0,0,0,0,0,1,2,2,0
Cirsium_crassicaule,0,1,1,0,0,0,0,0,1
Cirsium_culebraense,0,2,0,0,0,0,0,0,2
Cirsium_cymosum,0,2,1,1,0,0,0,1,2
Cirsium_douglasii,0,1,1,1,0,0,0,0,1
Cirsium_eatonii,0,2,0,0,0,0,0,0,2
Cirsium_edule,0,2,1,0,0,0,1,1,2
Cirsium_engelmannii,0,2,1,1,0,0,0,0,2
Cirsium_flodmanii,0,2,0,1,0,0,0,0,2
Cirsium_fontinale_campylon,0,2,0,0,0,1,3,2,2
Cirsium_funkiae,0,3,0,0,0,1,0,0,3
Cirsium_grahamii,0,2,1,1,0,0,1,0,2
Cirsium_griseum_griseum,0,2,0,0,0,0,0,0,2
Cirsium_griseum_osterhoutii,0,2,0,0,0,0,0,0,2
Cirsium_hesperium,0,2,0,0,0,0,0,0,2
Cirsium_hookerianum,0,2,1,0,0,0,0,0,2
Cirsium_inamoenum,0,2,1,0,0,0,0,0,2
Cirsium_joannae,0,2,0,0,0,0,0,1,2
Cirsium_lasal,0,2,1,0,0,0,0,0,2
Cirsium_lecontei,0,2,0,1,0,0,1,0,2
Cirsium_longistylum,0,2,0,0,0,0,0,0,2
Cirsium_mohavense,0,2,1,1,0,0,0,0,2
Cirsium_murdockii,0,2,0,0,0,0,0,0,2
Cirsium_neomexicanum,0,2,1,1,0,0,0,1,2
Cirsium_nuttallii,0,2,1,1,0,0,0,0,2
Cirsium_occidentale_candidissimum,0,0,1,0,0,0,0,2,0
Cirsium_ochrocentrum,0,2,0,1,0,0,0,0,2
Cirsium_ownbeyi,0,2,0,0,0,0,0,0,2
Cirsium_peckii,0,2,0,0,0,0,0,0,2
Cirsium_pulchellum,1,1,0,0,0,0,1,1,1
Cirsium_remotifolium,0,2,0,0,0,0,0,0,2
Cirsium_repandum,0,2,0,1,0,0,1,0,2
Cirsium_rydbergii,0,2,0,0,0,0,0,1,2
Cirsium_scariosum,0,2,1,0,0,0,0,0,2
Cirsium_scopulorum,0,2,0,0,0,1,0,0,2
Cirsium_scopulorum_pikes_peak,0,2,0,0,0,0,0,0,2
Cirsium_tenuisectum,1,1,0,0,0,0,0,1,2
Cirsium_texanum,0,2,1,1,0,0,0,0,2
Cirsium_tracyi,0,2,0,1,0,0,0,0,2
Cirsium_turneri,0,0,0,0,0,0,2,1,1
Cirsium_tweedyi,0,2,0,0,0,0,0,0,2
Cirsium_undulatum,0,2,0,1,0,0,0,0,2
Cirsium_validum,0,2,0,0,1,0,0,0,2
Cirsium_vinaceum,0,1,0,0,0,1,1,2,2
Cirsium_viperinum,0,2,0,0,0,0,0,1,2
Cirsium_virginense,0,2,1,1,0,0,0,0,2
Cirsium_vulgare,0,2,1,0,0,0,0,0,2
Cirsium_walapaiorum,0,2,1,1,0,0,0,0,2
Cirsium_wheeleri,0,2,0,1,0,0,0,0,2
Cirsium_wrightii,0,2,1,1,0,0,0,0,2